"feature","chi2","p","n_target","n_reference","direction"
"links",18.8652102984079,1.4028797411747e-05,18,7,"Left-leaning"
"sozial",12.2642686740569,0.000461714128012547,26,21,"Left-leaning"
"denken",8.66186829752738,0.00324937965183747,8,2,"Left-leaning"
"umweltbewusst",7.41872697427469,0.0064548468610679,12,8,"Left-leaning"
"politisch",5.62142235666366,0.0177422442779026,24,27,"Right-leaning"
"kulturell",3.80835098718421,0.0509976346600686,7,4,"Left-leaning"
"daran",3.68649981799274,0.0548546160945469,3,0,"Left-leaning"
"gerechtigkeit",3.68649981799274,0.0548546160945469,3,0,"Left-leaning"
"gleichberechtigung",3.68649981799274,0.0548546160945469,3,0,"Left-leaning"
"linke",3.68649981799274,0.0548546160945469,3,0,"Left-leaning"
"lustig",3.68649981799274,0.0548546160945469,3,0,"Left-leaning"
"progressive",3.68649981799274,0.0548546160945469,3,0,"Left-leaning"
"offen",3.61106782268649,0.0573962553290007,31,43,"Right-leaning"
"wichtig",3.59072645600986,0.058102838520929,6,3,"Left-leaning"
"alternativ",3.38065613233758,0.0659657891057155,4,1,"Left-leaning"
"innen",3.38065613233758,0.0659657891057155,4,1,"Left-leaning"
"interessieren",3.38065613233758,0.0659657891057155,4,1,"Left-leaning"
"kommunikativ",3.38065613233758,0.0659657891057155,4,1,"Left-leaning"
"nachhaltigkeit",3.38065613233758,0.0659657891057155,4,1,"Left-leaning"
"interessiert",3.02342017238927,0.0820702151416228,30,43,"Right-leaning"
"umwelt",2.79355720045219,0.0946439217662185,7,5,"Left-leaning"
"freude",1.9598840213495,0.161525722717413,4,2,"Left-leaning"
"mittelklasse",1.9598840213495,0.161525722717413,4,2,"Left-leaning"
"unabhängig",1.9598840213495,0.161525722717413,4,2,"Left-leaning"
"daher",1.74704914222378,0.186248126731555,3,1,"Left-leaning"
"einstellung",1.74704914222378,0.186248126731555,3,1,"Left-leaning"
"grosszügig",1.74704914222378,0.186248126731555,3,1,"Left-leaning"
"themen",1.74704914222378,0.186248126731555,3,1,"Left-leaning"
"ökologisch",1.74704914222378,0.186248126731555,3,1,"Left-leaning"
"arbeiter",1.07779831693697,0.299190610105414,4,3,"Left-leaning"
"gesellschaft",1.07779831693697,0.299190610105414,4,3,"Left-leaning"
"menschen",0.858811629273203,0.354071462457522,37,66,"Right-leaning"
"flexibel",0.769253313709837,0.380448144855729,3,2,"Left-leaning"
"ganz",0.769253313709837,0.380448144855729,3,2,"Left-leaning"
"nachhaltig",0.769253313709837,0.380448144855729,3,2,"Left-leaning"
"unterwegs",0.769253313709837,0.380448144855729,3,2,"Left-leaning"
"bewusst",0.532528165511121,0.46554590132736,4,4,"Left-leaning"
"gebildete",0.532528165511121,0.46554590132736,4,4,"Left-leaning"
"junge",0.532528165511121,0.46554590132736,4,4,"Left-leaning"
"neugierig",0.532528165511121,0.46554590132736,4,4,"Left-leaning"
"urban",0.532528165511121,0.46554590132736,4,4,"Left-leaning"
"bedacht",0.461190977675862,0.497067893615201,2,1,"Left-leaning"
"erwachsene",0.461190977675862,0.497067893615201,2,1,"Left-leaning"
"erwerbstätig",0.461190977675862,0.497067893615201,2,1,"Left-leaning"
"gerecht",0.461190977675862,0.497067893615201,2,1,"Left-leaning"
"grün",0.461190977675862,0.497067893615201,2,1,"Left-leaning"
"grüne",0.461190977675862,0.497067893615201,2,1,"Left-leaning"
"handwerker",0.461190977675862,0.497067893615201,2,1,"Left-leaning"
"helfen",0.461190977675862,0.497067893615201,2,1,"Left-leaning"
"herzlich",0.461190977675862,0.497067893615201,2,1,"Left-leaning"
"intellektuelle",0.461190977675862,0.497067893615201,2,1,"Left-leaning"
"intelligente",0.461190977675862,0.497067893615201,2,1,"Left-leaning"
"international",0.461190977675862,0.497067893615201,2,1,"Left-leaning"
"kosten",0.461190977675862,0.497067893615201,2,1,"Left-leaning"
"kulturen",0.461190977675862,0.497067893615201,2,1,"Left-leaning"
"kunst",0.461190977675862,0.497067893615201,2,1,"Left-leaning"
"lebensstandard",0.461190977675862,0.497067893615201,2,1,"Left-leaning"
"lebensstil",0.461190977675862,0.497067893615201,2,1,"Left-leaning"
"mehrsprachig",0.461190977675862,0.497067893615201,2,1,"Left-leaning"
"reflektiert",0.461190977675862,0.497067893615201,2,1,"Left-leaning"
"umweltschutz",0.461190977675862,0.497067893615201,2,1,"Left-leaning"
"usw",0.461190977675862,0.497067893615201,2,1,"Left-leaning"
