"feature","chi2","p","n_target","n_reference","direction","signed_chi2","feature_en"
"innen",9.74918267088484,0.00179402462666112,6,0,"Left-leaning",9.74918267088484,"within"
"ausländerfeindlich",6.63453340931284,0.0100020390355499,7,2,"Left-leaning",6.63453340931284,"xenophobic"
"rassistisch",5.07843014365302,0.0242252946962971,8,4,"Left-leaning",5.07843014365302,"racist"
"egal",5.04991327242708,0.0246271709795302,5,1,"Left-leaning",5.04991327242708,"indifferent"
"rechts",4.72550545055175,0.0297184475473455,16,16,"Left-leaning",4.72550545055175,"right-wing"
"verschlossen",4.27516592425188,0.0386731879343617,9,7,"Left-leaning",4.27516592425188,"closed-off"
"finden",3.59802094023667,0.0578483986652408,3,0,"Left-leaning",3.59802094023667,"find"
"ländlich",3.59802094023667,0.0578483986652408,3,0,"Left-leaning",3.59802094023667,"rural"
"negativ",3.59802094023667,0.0578483986652408,3,0,"Left-leaning",3.59802094023667,"negative"
"unglücklich",3.59802094023667,0.0578483986652408,3,0,"Left-leaning",3.59802094023667,"unhappy"
"vorurteile",3.59802094023667,0.0578483986652408,3,0,"Left-leaning",3.59802094023667,"prejudices"
"ändern",3.59802094023667,0.0578483986652408,3,0,"Left-leaning",3.59802094023667,"change"
"person",3.4617956269576,0.0628020799009275,6,3,"Left-leaning",3.4617956269576,"person"
"stur",2.34157398936304,0.125962222556635,8,8,"Left-leaning",2.34157398936304,"stubborn"
"denen",2.19399648534418,0.138549415386663,8,7,"Left-leaning",2.19399648534418,"them"
"links",-10.5796859253858,0.00114337082881977,0,22,"Right-leaning",-10.5796859253858,"left-wing"
"grüne",-2.47928728923964,0.115354514212381,0,8,"Right-leaning",-2.47928728923964,"greens"
"leute",-2.29843475438618,0.129504445766075,19,59,"Right-leaning",-2.29843475438618,"leute"
"ahnung",-2.02155841851307,0.155079910347944,0,7,"Right-leaning",-2.02155841851307,"clue"
"extreme",-2.02155841851307,0.155079910347944,0,7,"Right-leaning",-2.02155841851307,"extreme"
"leben",-1.93773488400036,0.163914688050817,8,29,"Right-leaning",-1.93773488400036,"leben"
"alternativ",-1.57117809782215,0.210036007815766,0,6,"Right-leaning",-1.57117809782215,"alternative"
"grün",-1.57117809782215,0.210036007815766,0,6,"Right-leaning",-1.57117809782215,"green"
"langweilig",-1.57117809782215,0.210036007815766,0,6,"Right-leaning",-1.57117809782215,"boring"
"stadt",-1.57117809782215,0.210036007815766,0,6,"Right-leaning",-1.57117809782215,"city"
"stark",-1.57117809782215,0.210036007815766,0,6,"Right-leaning",-1.57117809782215,"stark"
"wissen",-1.57117809782215,0.210036007815766,0,6,"Right-leaning",-1.57117809782215,"wissen"
"etc",-1.13223489514764,0.287299133338373,0,5,"Right-leaning",-1.13223489514764,"etc"
"gleichgültig",-1.13223489514764,0.287299133338373,0,5,"Right-leaning",-1.13223489514764,"gleichgültig"
"kinder",-1.13223489514764,0.287299133338373,0,5,"Right-leaning",-1.13223489514764,"children"
