"feature","chi2","p","n_target","n_reference","direction"
"innen",9.74918267088484,0.00179402462666112,6,0,"Left-leaning"
"ausländerfeindlich",6.63453340931284,0.0100020390355499,7,2,"Left-leaning"
"rassistisch",5.07843014365302,0.0242252946962971,8,4,"Left-leaning"
"egal",5.04991327242708,0.0246271709795302,5,1,"Left-leaning"
"rechts",4.72550545055175,0.0297184475473455,16,16,"Left-leaning"
"verschlossen",4.27516592425188,0.0386731879343617,9,7,"Left-leaning"
"finden",3.59802094023667,0.0578483986652408,3,0,"Left-leaning"
"ländlich",3.59802094023667,0.0578483986652408,3,0,"Left-leaning"
"negativ",3.59802094023667,0.0578483986652408,3,0,"Left-leaning"
"unglücklich",3.59802094023667,0.0578483986652408,3,0,"Left-leaning"
"vorurteile",3.59802094023667,0.0578483986652408,3,0,"Left-leaning"
"ändern",3.59802094023667,0.0578483986652408,3,0,"Left-leaning"
"person",3.4617956269576,0.0628020799009275,6,3,"Left-leaning"
"menschen",2.52761864693437,0.111868930590688,29,42,"Right-leaning"
"stur",2.34157398936304,0.125962222556635,8,8,"Left-leaning"
"denen",2.19399648534418,0.138549415386663,8,7,"Left-leaning"
"eigene",2.12804550328767,0.144625063641177,5,3,"Left-leaning"
"jemand",1.88247811589193,0.170052760824552,4,2,"Left-leaning"
"bereit",1.68527388740405,0.194225148295006,3,1,"Left-leaning"
"gehen",1.68527388740405,0.194225148295006,3,1,"Left-leaning"
"geht",1.68527388740405,0.194225148295006,3,1,"Left-leaning"
"gleich",1.68527388740405,0.194225148295006,3,1,"Left-leaning"
"interessieren",1.68527388740405,0.194225148295006,3,1,"Left-leaning"
"oft",1.68527388740405,0.194225148295006,3,1,"Left-leaning"
"orientiert",1.68527388740405,0.194225148295006,3,1,"Left-leaning"
"schlechte",1.68527388740405,0.194225148295006,3,1,"Left-leaning"
"umwelt",1.68527388740405,0.194225148295006,3,1,"Left-leaning"
"unternehmer",1.68527388740405,0.194225148295006,3,1,"Left-leaning"
"weniger",1.68527388740405,0.194225148295006,3,1,"Left-leaning"
"bünzlig",0.727260156426263,0.393772722577341,3,2,"Left-leaning"
"eingebildet",0.727260156426263,0.393772722577341,3,2,"Left-leaning"
"fremden",0.727260156426263,0.393772722577341,3,2,"Left-leaning"
"geizig",0.727260156426263,0.393772722577341,3,2,"Left-leaning"
"offen",0.727260156426263,0.393772722577341,3,2,"Left-leaning"
"wert",0.727260156426263,0.393772722577341,3,2,"Left-leaning"
"intolerant",0.612216588973271,0.433954443834101,6,7,"Right-leaning"
