"feature","chi2","p","n_target","n_reference","direction","signed_chi2","feature_en"
"links",27.5368400473051,1.54130519791629e-07,37,2,"New Left",27.5368400473051,"left-wing"
"sozial",20.1348502649793,7.21696093297641e-06,63,18,"New Left",20.1348502649793,"social"
"interessiert",14.7129355591986,0.000125184518023347,55,18,"New Left",14.7129355591986,"interested"
"offen",13.4384803606341,0.00024651522571506,78,33,"New Left",13.4384803606341,"open"
"weltoffen",10.3252756198519,0.0013122066283443,32,9,"New Left",10.3252756198519,"cosmopolitan"
"umweltbewusst",9.50960500563998,0.00204399156263502,27,7,"New Left",9.50960500563998,"environmentally conscious"
"interessieren",8.0402239933095,0.00457498793921174,12,1,"New Left",8.0402239933095,"interested in politics"
"umwelt",7.40654776278039,0.00649869084365806,16,3,"New Left",7.40654776278039,"environment"
"politisch",7.39089870446507,0.006555472625285,46,20,"New Left",7.39089870446507,"political"
"studenten",7.17936492956184,0.00737468069945957,11,1,"New Left",7.17936492956184,"students"
"alternativ",6.18443719625947,0.0128878686954448,9,0,"New Left",6.18443719625947,"alternative"
"jung",5.99155433901613,0.0143745307139571,12,2,"New Left",5.99155433901613,"young"
"aktiv",5.82904819949499,0.0157636500720609,16,4,"New Left",5.82904819949499,"active"
"tolerant",5.7306152737752,0.0166716405246108,25,9,"New Left",5.7306152737752,"tolerant"
"politik",5.19364692774106,0.0226695964985812,11,2,"New Left",5.19364692774106,"politics"
"grün",4.44576737041895,0.0349878627433124,7,0,"New Left",4.44576737041895,"green"
"linke",4.44576737041895,0.0349878627433124,7,0,"New Left",4.44576737041895,"leftists"
"nachhaltigkeit",4.44576737041895,0.0349878627433124,7,0,"New Left",4.44576737041895,"sustainability"
"eingestellt",4.41083621695533,0.0357113314123351,10,2,"New Left",4.41083621695533,"minded"
"wichtig",3.86231017893291,0.0493822893604148,15,5,"New Left",3.86231017893291,"important"
"ab",-0.0117209220835782,0.91378690724263,1,2,"Far Right",0.0117209220835782,"ab"
"anstand",-0.0117209220835782,0.91378690724263,1,2,"Far Right",0.0117209220835782,"anstand"
"arbeite",-0.0117209220835782,0.91378690724263,1,2,"Far Right",0.0117209220835782,"arbeite"
"arbeitnehmer",-0.0117209220835782,0.91378690724263,1,2,"Far Right",0.0117209220835782,"arbeitnehmer"
"aufgestellte",-0.0117209220835782,0.91378690724263,1,2,"Far Right",0.0117209220835782,"aufgestellte"
"bekannte",-0.0117209220835782,0.91378690724263,1,2,"Far Right",0.0117209220835782,"bekannte"
"berufliche",-0.0117209220835782,0.91378690724263,1,2,"Far Right",0.0117209220835782,"berufliche"
"echte",-0.0117209220835782,0.91378690724263,1,2,"Far Right",0.0117209220835782,"echte"
"einzelgänger",-0.0117209220835782,0.91378690724263,1,2,"Far Right",0.0117209220835782,"einzelgänger"
"erfolgsorientiert",-0.0117209220835782,0.91378690724263,1,2,"Far Right",0.0117209220835782,"erfolgsorientiert"
"erreichen",-0.0117209220835782,0.91378690724263,1,2,"Far Right",0.0117209220835782,"erreichen"
"erzogen",-0.0117209220835782,0.91378690724263,1,2,"Far Right",0.0117209220835782,"erzogen"
"familienmensch",-0.0117209220835782,0.91378690724263,1,2,"Far Right",0.0117209220835782,"familienmensch"
"finden",-0.0117209220835782,0.91378690724263,1,2,"Far Right",0.0117209220835782,"finden"
"gegend",-0.0117209220835782,0.91378690724263,1,2,"Far Right",0.0117209220835782,"gegend"
"gehobener",-0.0117209220835782,0.91378690724263,1,2,"Far Right",0.0117209220835782,"gehobener"
"gehöre",-0.0117209220835782,0.91378690724263,1,2,"Far Right",0.0117209220835782,"gehöre"
"gesellige",-0.0117209220835782,0.91378690724263,1,2,"Far Right",0.0117209220835782,"gesellige"
"gesundes",-0.0117209220835782,0.91378690724263,1,2,"Far Right",0.0117209220835782,"gesundes"
"gewissen",-0.0117209220835782,0.91378690724263,1,2,"Far Right",0.0117209220835782,"gewissen"
