"feature","chi2","p","n_target","n_reference","direction"
"links",27.5368400473051,1.54130519791629e-07,37,2,"new left"
"sozial",20.1348502649793,7.21696093297641e-06,63,18,"new left"
"interessiert",14.7129355591986,0.000125184518023347,55,18,"new left"
"offen",13.4384803606341,0.00024651522571506,78,33,"new left"
"weltoffen",10.3252756198519,0.0013122066283443,32,9,"new left"
"umweltbewusst",9.50960500563998,0.00204399156263502,27,7,"new left"
"interessieren",8.0402239933095,0.00457498793921174,12,1,"new left"
"umwelt",7.40654776278039,0.00649869084365806,16,3,"new left"
"politisch",7.39089870446507,0.006555472625285,46,20,"new left"
"studenten",7.17936492956184,0.00737468069945957,11,1,"new left"
"alternativ",6.18443719625947,0.0128878686954448,9,0,"new left"
"jung",5.99155433901613,0.0143745307139571,12,2,"new left"
"aktiv",5.82904819949499,0.0157636500720609,16,4,"new left"
"tolerant",5.7306152737752,0.0166716405246108,25,9,"new left"
"politik",5.19364692774106,0.0226695964985812,11,2,"new left"
"grün",4.44576737041895,0.0349878627433124,7,0,"new left"
"linke",4.44576737041895,0.0349878627433124,7,0,"new left"
"nachhaltigkeit",4.44576737041895,0.0349878627433124,7,0,"new left"
"eingestellt",4.41083621695533,0.0357113314123351,10,2,"new left"
"wichtig",3.86231017893291,0.0493822893604148,15,5,"new left"
"kulturell",3.65337675701619,0.0559556557206701,11,3,"new left"
"eigene",3.64713355864166,0.0561657978193232,9,2,"new left"
"kulturen",3.64713355864166,0.0561657978193232,9,2,"new left"
"mittelklasse",3.58497982399736,0.0583041247120327,6,0,"new left"
"ökologisch",3.58497982399736,0.0583041247120327,6,0,"new left"
"eher",2.83916329316051,0.0919921043302441,36,20,"new left"
"vegan",2.7341395152276,0.0982243951136998,5,0,"new left"
"vegetarisch",2.7341395152276,0.0982243951136998,5,0,"new left"
"denken",2.64839703400542,0.103654370844397,13,5,"new left"
"engagiert",2.64839703400542,0.103654370844397,13,5,"new left"
"gegenüber",2.31333296156638,0.128268750210762,9,3,"new left"
"akademiker",1.90041693706683,0.168031657940199,4,0,"new left"
"daran",1.90041693706683,0.168031657940199,4,0,"new left"
"etwa",1.90041693706683,0.168031657940199,4,0,"new left"
"flexibel",1.90041693706683,0.168031657940199,4,0,"new left"
"gleichberechtigung",1.90041693706683,0.168031657940199,4,0,"new left"
"grossstadt",1.90041693706683,0.168031657940199,4,0,"new left"
"kreative",1.90041693706683,0.168031657940199,4,0,"new left"
"partei",1.90041693706683,0.168031657940199,4,0,"new left"
"schüler",1.90041693706683,0.168031657940199,4,0,"new left"
"sowie",1.90041693706683,0.168031657940199,4,0,"new left"
"sp",1.90041693706683,0.168031657940199,4,0,"new left"
"usw",1.90041693706683,0.168031657940199,4,0,"new left"
"kreativ",1.89061545572737,0.169132520691559,10,4,"new left"
"nachhaltig",1.82389588699258,0.176850237644931,6,1,"new left"
"neugierig",1.82389588699258,0.176850237644931,6,1,"new left"
"respektvoll",1.82389588699258,0.176850237644931,6,1,"new left"
"studierende",1.82389588699258,0.176850237644931,6,1,"new left"
"bildung",1.70256122504291,0.191953365095018,8,3,"new left"
"interessierte",1.70256122504291,0.191953365095018,8,3,"new left"
"neues",1.55505633195951,0.212390538940796,14,7,"new left"
"freude",1.32159467460528,0.250306056895869,7,2,"new left"
"kommen",1.32159467460528,0.250306056895869,7,2,"new left"
"weltoffene",1.32159467460528,0.250306056895869,7,2,"new left"
"miteinander",1.15515119718391,0.282473414075674,5,1,"new left"
"soziales",1.15515119718391,0.282473414075674,5,1,"new left"
"unterwegs",1.15515119718391,0.282473414075674,5,1,"new left"
"urban",1.15515119718391,0.282473414075674,5,1,"new left"
"menschen",1.14306457549921,0.285005697414376,85,63,"new left"
"allgemeinwissen",1.10054357715217,0.294146842797386,3,0,"new left"
"bezeichnen",1.10054357715217,0.294146842797386,3,0,"new left"
"engagieren",1.10054357715217,0.294146842797386,3,0,"new left"
"entweder",1.10054357715217,0.294146842797386,3,0,"new left"
"erwachsene",1.10054357715217,0.294146842797386,3,0,"new left"
"finde",1.10054357715217,0.294146842797386,3,0,"new left"
"gehören",1.10054357715217,0.294146842797386,3,0,"new left"
"generation",1.10054357715217,0.294146842797386,3,0,"new left"
"gerechtigkeit",1.10054357715217,0.294146842797386,3,0,"new left"
"grüne",1.10054357715217,0.294146842797386,3,0,"new left"
"helfen",1.10054357715217,0.294146842797386,3,0,"new left"
"hinterfragen",1.10054357715217,0.294146842797386,3,0,"new left"
"hohe",1.10054357715217,0.294146842797386,3,0,"new left"
"intellektuelle",1.10054357715217,0.294146842797386,3,0,"new left"
"international",1.10054357715217,0.294146842797386,3,0,"new left"
"internet",1.10054357715217,0.294146842797386,3,0,"new left"
